year,month,rainfall_mm
2016,10,1.86
2016,11,5.7
2016,12,1.86
2017,1,4.03
2017,2,6.16
2017,3,0.93
2017,4,15.6
2017,5,27.9
2017,6,0.6
2017,7,12.71
2017,8,3.41
2017,9,3.9
2017,10,47.43
2017,11,17.4
2017,12,0.0
2018,1,0.0
2018,2,2.24
2018,3,61.07
2018,4,101.7
2018,5,37.51
2018,6,26.7
2018,7,2.17
2018,8,1.24
2018,9,2.1
2018,10,8.06
2018,11,4.8
2018,12,38.13
2019,1,2.79
2019,2,0.28
2019,3,5.58
2019,4,23.4
2019,5,10.54
2019,6,13.2
2019,7,33.48
2019,8,3.41
2019,9,8.4
2019,10,29.14
2019,11,45.6
2019,12,94.24
2020,1,49.91
2020,2,17.98
2020,3,53.63
2020,4,93.3
2020,5,48.67
2020,6,11.7
2020,7,7.75
2020,8,16.43
2020,9,10.8
2020,10,9.92
2020,11,9.6
2020,12,155.62
2021,1,30.07
2021,2,1.12
2021,3,1.24
2021,4,10.5
2021,5,71.92
2021,6,0.3
2021,7,8.06
2021,8,1.55
2021,9,9.9
2021,10,3.41
2021,11,7.8
2021,12,2.17
2022,1,55.49
2022,2,3.08
2022,3,2.48
2022,4,10.2
2022,5,3.72
2022,6,3.0
2022,7,2.17
2022,8,11.16
2022,9,7.8
2022,10,2.48
2022,11,2.7
2022,12,16.43
2023,1,0.62
2023,2,0.28
2023,3,57.04
2023,4,125.1
2023,5,5.27
2023,6,0.9
2023,7,1.24
2023,8,2.79
2023,9,1.2
2023,10,19.53
2023,11,77.1
2023,12,7.75
